"start","end","text"
"312640","328600"," давно зареганы. Например, это какой-то ваш основной аккаунт, идеально, где там немного подписчиков, максимум пару сотен, чтобы мы их смогли на старте удалить, чтобы они не мешали продвижению. Также очень-очень-очень хорошо себя показывают аккаунты для слежки. Например, у вас был какой-то аккаунт, я"
"328600","345340"," не знаю, накоточки, спб, и вы следили с этого аккаунта за кем-то. Вы делали очень много действий, которые совершает реальный человек, при этом у вас не было каких-то рилзов, там куча фотографий и так далее. Вот такие аккаунты по опыту себя прям очень классно показывают. На втором месте,"
"345840","362660"," после аккаунтов, которые мы сами давно регали, это либо новые аккаунты, либо покупные. В чем разница и как определиться, что нам нужно делать, покупать аккаунт или самостоятельно регать. Здесь я рекомендую очень простой принцип, мы диверсифицируем риски. Например, у нас один из трех – это наш"
"362660","380280"," старый аккаунт, еще один – мы можем зарегистрировать с нуля самостоятельно, еще один – просто купить. Таким образом, мы разложили яйца по всем корзинам и максимально застрахованы от того, что инста не взлюбит один из этих аккаунтов по каким-то неведомым для нас причинам. Обычно регать с нуля или"
"380280","397380"," покупать – разницы не имеет. Единственное, если мы регаем с нуля, то это займет на пару дней подольше его погреть. А если мы аккаунт купили, то его почти не нужно греть так долго. Хватит примерно одной недели. Если мы регаем с нуля, то это где-то полторы недели, то есть"
"397380","415700"," на дня четыре подольше. Если мы хотим купить аккаунт, то нам нужно использовать один из маркетплейсов, где они продаются. Самый популярный – это Lowesteem, Lowestmarket. Также нам нужно выбрать аккаунт правильно, иначе у нас есть риск, что у нас его просто угонят, когда он будет залетать. Для этого"
"415700","432520"," нам нужно выбрать аккаунт по критериям. Во-первых, это аккаунт должен быть саморек или авторек. Мы на сайте всегда выбираем, какая природа аккаунта. Нам ни в коем случае нельзя покупать аккаунт, где написано BRUT. Это украденный аккаунт. Нам важно, чтобы аккаунт был больше трех месяцев. Идеально,"
"432700","449280"," что делает бот Россия, если мы хотим продвигаться здесь. Если прямо сейчас России нету, и мы хотим продвигаться по России, это не страшно, можно взять Европу. Идеально, конечно, Россия, таких аккаунтов просто меньше. Если же мы хотим продвигаться по зарубежке, например, на Штаты, то нам очень"
"449280","466040"," важно, чтобы аккаунт был из Штатов. Это прямо играет роль. Ни в коем случае не Индия, если мы продвигаемся по зарубежке. Важно, чтобы не было очень много подписчиков, потому что мы их не сможем удалить. И также, чтобы был доступ к почте и не привязан номер телефона. И мы покупаем"
"466040","486180"," один, либо два подходящих аккаунта, и заходим в них. И примерно после 4-7 дней Инста нам даст возможность перепривязать почту и поставить свой номер телефона. Здесь очень важно запомнить правила трех единичек. Один аккаунт, одна своя уникальная почта и один уникальный номер телефона. Номер можно"
"486180","502140"," свой сделать, либо купить еще пару симок. Е-сим, либо физический симок, Йоти, МТС и так далее. Очень важно соблюдать правила. На одном аккаунте одна своя почта, то есть эта почта не должна к другим аккаунтам быть привязана. И один номер к этому же аккаунту, чтобы он не был использован"
"502140","521440"," для других аккаунтов. Если вы смотрите с десктопа, вы можете отсканировать QR-код и здесь будет подробный гайд по покупке и входу в новые аккаунты. И как только мы купили аккаунт, мы входим в него, переключаем сразу же его с обычного на профессиональный, выбираем аккаунт автора, базово его"
"521440","538320"," оформляем, просто ватарка, имя-описание и начинаем его прогревать. Здесь у нас полноценная инструкция по прогреву аккаунтов. И существует несколько видов контента, которые мы будем публиковать в Инсте. Один из них это посты, то есть это картинки, фотографии и прочий визуал, который у нас есть в"
"538320","557180"," основной ленте. Здесь у меня есть картинки, фотографии со мной, например. Они сейчас уехали вниз и сейчас здесь карусели, то есть это просто группа картинок с текстом. Все эти посты это визуальные и текстовые публикации, чтобы мы показали себя, как мы выглядим, либо если карусели, для продвижения. "
"557500","576840"," Также у нас есть stories или истории. Это формат временного контента, который исчезает каждый день. Это короткие фото или видео, которые мы используем для коммуникации с аудиторией. Через них как раз мы делаем основной прогрев, а также мини-воронки через историю. Когда мы объединяем историю у нас"
"576840","597080"," здесь на профиле, мы можем добавить в такую папочку. Эта папочка называется хайлайтом или актуальным и из stories мы делаем такую мини-воронку. То есть люди могут переходить по этим хайлайтам и ключевую карту смыслов, которую мы будем потом раскрывать, поглощать в результате прогреваться к нужным"
"597080","615060"," для нас вещам и переходить, например, в воронку, переходить в телегу или просто впитывать нужные смыслы, которые есть у нас. Ну и напоследок рилс. Это тот самый формат, за которым многие из вас пришли сюда. Это формат коротких видео, которые показываются и попадаются в рекомендациях не только нашим"
"615060","635060"," подписчикам, но и холодной аудитории, за счет чего мы растем. У нас рилс находится вот в этой отдельной иконочке. Здесь у нас слева основная лента, а посерединке как раз у нас наши рилсы. Как нам выкладывать рилсы? Для выкладки любого ролика нам нужны 4 элемента. Первый это видеоподложка, т.е."
"635120","654740"," просто видео. Далее в заголовок, который мы прилепим над нашим видео, описание, которое сгенерировала GPT, т.е. нейрописание и музыка. Видеоподложки выглядят у нас так. Это просто короткие видео, примерно по 5 секунд. Мы их снимем несколько раз и будем использовать постоянно, т.е. у нас будет сетка"
"654740","672340"," из видео, которую мы будем циркулировать всегда. Нам не нужно потом каждый раз их будет снимать. По подложкам у нас есть отдельный урок. Они представляют собой короткие видео, вот здесь прямо собраны все те, которые я использую. Это прям самые-самые-самые классные для формирования насмотренности."
"672720","693460"," Это наш самый best practice. Я тестил на своем проекте, на проектах учеников очень разное количество разнообразнейших форматов, обложек, таймингов и т.д. Больше всего лучше работают обложки по 5 секунд. Вот такой best practice. Но иногда хорошо работают на 6 и 7 секунд. Больше 7-8 секунд и т "
"693460","709920",".д. уже плохо работают. И те, которые короче 4,5 секунды также худо работают. Поэтому я рекомендую ставить на 5 секунд. С обложек также очень важно убрать звук, потому что нам его каждый раз придется убирать на сети вручную, ну и не стоит просто ратить на это время. Также по"
"709920","729380"," обложкам нам важно, чтобы они были всегда в качестве Full HD, т.е. 1080p. Если наш телефон снимает в 4К, то нам нужно понизить просто это качество, либо при съемке, либо уже в каком-то приложении, например в CapCut или приложение от Insta, которое вышло, или Edits. Таким образом, Insta"
"729380","744300"," будет показывать контент в Full HD. И прикол в том, что она не может другой контент показывать. А когда мы загружаем что-то в 4К, она его сначала сжимает и потом разжимает. И это займет очень много времени на загрузку видео, и оно будет часто в пикселях у людей, у"
"744300","764080"," которых слава бы интернет. Поэтому нам важно это выкладывать сразу же в разрешение Full HD 1080p. Как нам выложить Reels? Мы заходим в приложение Instagram и жмем на плюсик, который находится у нас в самом центре. Мы выбираем тут будет у нас кнопочка Video Reels и мы выбираем папку, где"
"764080","785440"," у нас находятся наши подложки. Мы их можем найти. Когда мы выбираем любую подложку, мы тикаем на нее и нажмем кнопочку Далее. Она у нас откроется. И следующее, что нам останется, это занести заголовок. Мы копируем и вставляем его из GPT либо если мы из GPT его, например, в телегу"
"785440","805600"," заранее вставили, оттуда. Вставляем и выбираем Shift. Я рекомендую использовать, как у меня, Classic. Вот он здесь находится. Мы его выбираем и дальше нам его нужно расположить на экране. Здесь у нас левый сползенок, который мы можем вверх или вниз крутить, чтобы Shift у нас либо в 1, либо в"
"805600","823260"," 2, либо в 3 ряда и так далее располагался. Я его рекомендую сделать вот так красиво в несколько рядов, чтобы его было удобно читать. Потому что тут всего лишь 2-3 слова вмещаются. Это тяжело читать. Тут полегче читать. Нам важно его расположить в пределах рамок, который у нас есть. "
"823960","839780"," Вот здесь видно, рамочки у нас тут есть. И когда мы этот Shift будем поднимать выше, тут тоже у нас появится рамочка. Нам важно за пределы рамочки его не выносить. Это очень популярная ошибка, его делают где-то вот тут. Из-за этого шторка его закрывают и текст релза вообще"
"839780","858340"," не видно. Вот этот наш заголовок. Когда мы его расположили, мы выбираем музыку и жмем, собственно, далее. Нам остается ставить просто наше нейрописание. Мы его также копируем либо если вставляли в телегу и вставляем сюда. Но чтобы не засорять наш визуал кучей релз, которые мы будем выкладывать"
"858340","879100"," только в нашей сетке релз, а не в основной ленте, мы при постинге жмем кнопочку аудиторию и здесь выбираем только в разделе релз и жмем готово. Также, как только мы подключили ФБшку, то есть Facebook, аккаунты, которые лучше всего залетают, мы здесь всегда оставляем флажочки, чтобы наши релзы еще"
"879100","901260"," репостились в Facebook. За счет этого у нас будет дополнительное 5, 10, 15 и даже 30% просмотров к нашим релзам. Это часто помогает пробить промежуток, когда мы застряли. И помогло, в частности, мне, когда я застрял с 127 до 121. У меня просадка была и Facebook был один из"
"901260","920440"," ингредиентов, который мне помог пробить вот эту плату, этот теневой бан и дальше стартануть. Потому что, когда ролик набирал в релзах 500 тысяч просмотров, Facebook мне еще накидывал 100-200 и за счет этого ролик получал дополнительный импульс и как раз помог мне пробить алгоритмы заново и вырасти."
"920780","937800"," Резюмируя, мы разобрались, что у нас есть три основных формата контента. Посты, сториз и релз. Релз мы используем для продвижения и набора аудитории. Посты для визуального знакомства аудитории с нами, либо для каруселей. А сториз для дальнейшего прогрева аудитории. Теперь, как же нам"
"937800","958660"," зарегистрироваться в ChargeGPT? Мы переходим по ссылке chargegpt.com и в официальный сайт. Это наша правая рука при создании всего контента. Для начала нам нужно подключить VPN, если мы в России. Любая страна, кроме Беларуси, то есть она не должна быть запрещена. После подключения к VPN, можно"
"958660","978940"," очистить кэш, кукисы. Это предотвратит отслеживание по прошлым посещениям. Иногда бывает, что при регистрации в ChargeGPT он пишет хоп, а мы его снизу зарегистрируем, ошибочку нам выдает. И ее можно предотвратить, если мы очистим кэш и кукис. Далее мы регистрируемся и для этого мы вводим вариант"
"978940","995300"," входа через Google Почту. Он работает лучше всего, потому что это Gmail Почта. То есть это не Яндекс.Ру, не Mail.Ru. Это не российская почта и ChargeGPT ее любит гораздо больше. И после того, как мы зарегистрировались, мы уже можем открыть ссылку на нашу кастомную GPTшку и начать уже"
"995300","1012040"," делать наше нейроописание. Также для вас есть подробнейший гайд по регистрации и входу в ChargeGPT. После входа в ChargeGPT либо в кастомную версию, мы можем начать генерировать наше нейроописание. И для этого мы используем промпты, то есть указания, что мы пишем нашему чату GPT. Примеры промптов в"
"1012040","1029700"," обычном чате могут быть разнообразнейшие. Например, напиши Reels на тему выгорания, придумай заголовок для ролика и так далее. Но суть в том, что в нашей кастомной модели, которую я сделал, все промпты уже предустановлены в специальном конфигураторе. И поэтому нам не нужно даже просить что-то"
"1029700","1046680"," необычное, быть промпт-инженером и думать, что же такое написать, чтобы получить гениальный ответ. Нам достаточно просто указать тему для нашего Reels и кастомная версия сразу поймет, что нам нужно. И по всем факторам виральности даст нам идеальное нейроописание секунд за 20. Давайте повторим. Мы"
"1046680","1064280"," используем три аккаунта в Инстаграме, чтобы через 2-3 недели понять, какой один из них пробивает алгоритмы, чтобы мы сфокусировались на нем. Остальное просто удалили. В Инстаграме у нас есть три основных формата контента. Это Reels, где мы выкладываем нейроописание. Это посты, где есть фотографии"
"1064280","1084920"," либо карусели. И это Stories для прогрева аудитории. И мы регистрируемся в чате GPT, покупаем подписку плюс версию и открываем нашу кастомную версию чата GPT, которую мы можем использовать всегда. И мы очень четко формулируем запрос, который хотим, чтобы она дала. И для этого мы просто пишем тему"
"1084920","1104360"," нашего ролика. Например, 5 редфлагов в женщинах. Или там этот секретный ингредиент поможет сбросить вес и быть всегда молодым. И наш чат GPT даст нам прекрасный ответ. Если чат GPT будет немножко потупливать, мы можем его скорректировать, то есть попросить. Я специально промут сказать, что,"
"1104500","1116580"," например, ответ слишком длинный или слишком много воды ты налил чат GPT, слишком много абстракции и так далее. И чат GPT будет исправляться, чтобы учиться давать нам самые шикарные ответы. Успехов! "
