"start","end","text"
"197070","214610"," материю, которая держит до сзади и говорит, ни в коем случае не вы постерился, или не сделай пост, или ни в коем случае не выскажи своё мнение. Нет, замирание это переход в новую деятельность, когда человек говорит, я не до конца осознаю для себя там цель, могу как-то перестать"
"214610","234050"," видеть, не до конца осознаю ценность, не до конца верю в себя, не до конца уверен в себе. И внешне это будет выглядеть, как вот такое замирание, пытаться что-то сделать, доходить до черты и отходить шаг назад. Третье, это с чем вы столкнетесь, это потеря мотивации или её смена. "
"234470","251810"," Почему? Потому что, когда мы заходим в какую-то новую деятельность, мы, естественно, вдохновляемся. Нам хочется вдохновиться, нам хочется нового, мы почувствовали, мы уже начали себе представлять. Когда мы переходим из области иллюзий, то есть, когда мы заходим в любую новую деятельность, у нас"
"251810","271790"," есть определённые иллюзии, это правильные иллюзии, мы должны визуализировать, что мы будем делать, для чего мы должны вдохновляться. Но когда из области иллюзий мы перемещаем нашу точку в цели, вот здесь нам нужна смена мотивации, мы должны уже понимать, что для чего, каким способом, с каким"
"271790","290310"," результатом мы делаем, что для нас хороший результат, что для нас неудовлетворительный результат, как мы пойдём дальше, то есть у нас должны появляться новые инструменты. На вдохновении ни один человек не будет от начала до самого конца реализовать никакую деятельность, будь то материнство, будь то"
"290310","311330"," профессия, будь то рилс, неважно. В ходе перехода из иллюзий, когда мы себе визуализировали эту картинку, в цели мы всегда должны закрепить свою мотивацию. Либо старая мотивация исчезает, и мы повисаем, а для чего я зашёл вообще, что я хочу, какой моя мотивация является, там то-то, то-то, то "
"311330","329930","-то. Либо мы должны полностью обновить мотивацию, либо мы должны её немножечко отрегулировать, в зависимости от того, какие инструменты у нас появились. Это абсолютно естественная история, этого не нужно бояться, не нужно думать, что вы потеряли мотивацию, не нужно думать, что старая не работает. "
"330390","349450"," Нет, всё работает, только здесь нужно осознать, что, когда вы берёте какую-то иллюстрацию и читаете текст, вот представьте, что вы открываете книгу, у вас есть иллюстрация, есть текст. Иллюстрация, которую вы себе придумали по тексту, не всегда совпадает с той иллюстрацией, которую придумал"
"349450","369090"," художник. Правильно? Вот здесь то же самое. Наша мотивация должна обтачиваться об реальность, и она это делает, и к этому нужно отнестись абсолютно спокойно, потому что это часть большого процесса. Четвёртое, с чем вы столкнетесь, это сравнение. Вы будете себя сравнивать, вы будете сравнивать себя,"
"369270","385270"," вы будете сравнивать себя с теми, кто давно в этой деятельности, вы будете сравнивать себя с ожиданием от себя. Например, сразу хочу огромный результат, а у меня не получается. И это тоже часть процесса, и вы должны понимать, что сравнение играет не в нашу пользу. Сейчас мы будем говорить о"
"385270","402470"," правилах, и я вам поподробнее расскажу, что с этим делать. Сравнение – это такой самый простой механизм мышления для того, чтобы снять тревогу, которая копится. Вы зашли во что-то новое, естественно, немножко тревожно. Как, что, какой результат, я никогда там не был. Вот эта новизна, она всегда"
"402470","423630"," сопровождается тревогой. И мы должны понимать, что с сравнением наш мозг пытается нас немножко привести такое чувство, где я нахожусь, там выше какой-то среднего значения, выше нормы или ниже нормы, где это среднее значение. Наш мозг пытается нам помочь справиться с тревожностью. Но сравнение"
"423630","440570"," работает против нас, потому что мы все разные, и мы стартуем из разных точек, у нас разные задачи, у нас разные мотивы. Даже если они выглядят в словах одинаково, я хочу получить большую аудиторию, я хочу заработать определенное количество денег. Поверьте, каждый из вас пришел за своим, за вашими"
"440570","456350"," деньгами, которые вы хотите заработать, есть еще какие-то ваши цели, и они будут отличаться от того, кто с вами учится. За вашей большой аудиторией тоже будут свои цели, и кто-то пришел для того, чтобы иметь славу, кто-то пришел для того, чтобы найти свою стаю, тех людей, которые"
"456350","475430"," его понимают, а внешняя мотивация будет звучать одинаково, да, я хочу большую аудиторию. Пятое, с чем вы столкнетесь, это ожидание и разочарование. С этим нужно научиться работать. Почему? Потому что всегда есть вот эта история, я ожидаю, и если я не получаю того, что я ожидаю, я разочаровываюсь."
"475970","494830"," Эта техника, она работает везде, в материнстве, в супружестве, в профессии, в хобби. Даже если вы ожидаете, что вы поедете кататься на лыжах и сразу поедете со склона, и вдруг у вас с первого раза не получилось, то естественно у вас тоже будет разочарование. Вот взрослая личность, она разочарование"
"495510","512350"," не переживает глубоко. Вот если вы ребёнка поставите на лыжи, вот вы его везёте, и говорите, слушай, сейчас, дорогой мой сын, мы с тобой поедем на лыжах кататься, ты там научишься, да, он становится на лыжах, делает первые попытки съехать красиво, и у него не появляется вот этого, вот этой"
"512350","527410"," красоты действия. Да, что делает ребёнок? Он разочаровывает, он плачет, он говорит, меня обманули и так далее. Что делает взрослый? Он говорит, подожди, я понимаю, что за каждым ожиданием есть действие, есть какая-то работа, которая требует времени. У кого-то чуть побольше, у кого-то чуть поменьше,"
"527490","544910"," у кого-то со второго раза, у кого-то с первого, у кого-то с 12-го. Но в любом случае я смогу поехать на этих лыжах по этому склону, если я буду не в ожидании, да, что сейчас я это быстро сделаю, не разочаровываясь той картинкой, которую я нарисовал,"
"545290","564510"," не переживая глубоко разочарование, а направляя своё время и свои силы на действия, на оттачивание навыка. Вот тогда я поеду. Если я не буду оттачивать навык, то, соответственно, я останусь в той же точке, на той же горе с теми же лыжами. Шестое это застенчивость. Что такое застенчивость? Кто-то"
"564510","581870"," говорит, мне стыдно, да, я стесняюсь выкладывать какие-то вещи и так далее. Понятно, что у всего есть порог нормы и морали, и здесь нужно понимать, что он действительно у каждого свой, да, кому-то, кому-то вот прям ворота открыты, а у кого-то это вот прямо точно ничего"
"581870","607530"," личного, да, не выкладывая каких-то вещей, ни в коем случае. Вот что такое застенчивость? Застенчивость это, когда человек прячется, как за стеночку, за что-то. Иногда это знание, иногда это какие-то правила его, иногда это привычки. То есть, когда человек говорит, я стесняюсь, я застенчивый, то"
"607530","624310"," мне сразу вспоминается фраза, которую сказал один известный человек о том, что людям, люди и так заняты каждым своим делом, да, им, в общем-то, до тебя нет никакого дела, а ты ещё и застенчивый. Мне эта фраза очень понравилась, и она очень так смыслом наполняет. Почему? Потому что, когда"
"624310","642630"," человек говорит, я застенчивый, он ставит между собой и людьми в которую он хочет выйти, видимость, у которых он хочет приобрести, вот эту застенчивость, вот эту стеночку. И для кого-то это будет про какие-то правила, я не делаю так, или я не делаю так, для кого-то мне"
"642630","661130"," стыдно показать себя там дома, например, да, или для кого-то мне стыдно показать себя с работой, я стесняюсь чего-то. Вот я вас призываю не стесняться чего-то, а выстраивать отношение, коммуникацию с вашей аудиторией, потому что, если вы идёте в коммуникацию, тогда вы видны, и ваша аудитория видна,"
"661410","681730"," и это прекрасно. Но если вы выстраиваете между собой и другими людьми стеночку, то, естественно, вам будет очень тяжело открываться, и вам будет очень тяжело видеть людей, с которыми вы хотите как-то коммуницировать, да, и людям будет вас очень тяжело видно, потому что вы за стеночкой. Седьмое, с"
"681730","701170"," чем вы столкнетесь, это поиск новых смыслов или поддержание старых смыслов. Про смысл мы будем говорить ещё отдельно, но у каждой деятельности, когда мы занимаемся чем-то, должен быть личный смысл, ради чего я это делаю, для чего, то есть ваше внутреннее зачем, и оно будет меняться, ваше внутреннее"
"701170","719590"," зачем будет меняться, то, какими вы заходили и отвечали себе на вопрос зачем, то, как вы пойдете дальше и будете отвечать себе на вопрос зачем, и то, какими вы будете на протяжении какого-то времени, даже после окончания проекта, какое-то время ваше внутреннее зачем будет меняться. Это абсолютно"
"719590","740290"," нормальная история, и здесь очень важно не потерять смысл. Смыслы могут меняться, но их очень важно не терять, потому что, если вы его потеряете, вам будет очень сложно возобновлять. Как делать первые шаги? Теперь переходим к простой психологической практике. Как делать первые шаги? Есть один"
"740290","762850"," простой способ начать делать первые шаги в какой-то новой деятельности для того, чтобы она приносила результат. Создайте правила работы для себя, то есть просто обозначьте, вот вам прям практика, какие правила работы мне нужны для того, чтобы я осуществлял эту деятельность. Я вам дам сейчас только"
"762850","779910"," начало, остальные вы допишите, исходя из своего. Кто-то допишет, я не обращаю внимание на хейт, кто-то допишет, я работаю не больше двух часов, кто-то допишет, я пишу только там или снимаю риелс только на определенную тему. Каждый из вас допишет нюансы уже свои, и я вам предлагаю"
"779910","799050"," зайти в это упражнение. Начало я вам сейчас даю, а продолжение вы делаете самостоятельно. Первое, что вы должны запомнить, что это правила ваши, и когда вы о них забываете, прям открываете свой конспект, что за правила у меня в работе. Первое, не сравнивайте чужую середину и свое начало. Никогда не"
"799050","820590"," сравнивайте себя с другими. Мы все разные, мы стартуем из разных точек, у нас абсолютно разные цели, задачи, скорости, и поэтому тот, кто пришел уже в свою середину, и вы в своем начале, вы точно будете отличаться не в лучшую сторону. Делайте свое дело, набирайте свою скорость, делайте свои,"
"821010","840470"," раскрывайте свои ценности, реализуйте свое дело, и не нужно здесь абсолютно сравнивать. Второе, правило, которое я вам предлагаю, это держать фокус на цели, но видеть следующий шаг. Что это значит? Это значит, что если у вас есть цель, и вы ее видите, и вы вот туда идете, то надо держать"
"840470","861810"," фокус на цели, помнить, куда я иду, чего я хотел, но иногда люди фокус на цели фокусируют, например, они говорят, я хочу заработать такую-то сумму, но они без конца промахиваются в следующем шаге, то есть они не делят этот путь отсюда туда на какие-то шаги, и для них"
"861810","879530"," становится очень неприятно о том, что я туда никак не могу попасть, а на самом деле держать фокус нужно на цели, но следующий шаг вам нужно видеть, иначе вы все время будете промахиваться. Третье, страх, это вообще не всегда про страх, это чаще всего про то, что я не знаю,"
"879910","899450"," то есть я не знаю, как именно это сделать, я не знаю, чего именно я хочу, я не знаю, какой именно инструмент мне здесь поможет, не знать это не страшно, незнание лечится только поиском нового инструмента, задавать вопросы, спрашивать у людей, щупать, пробовать, это всё инструменты, поэтому, когда"
"899450","920190"," вы говорите, я боюсь выпускать новый риэлс, например, да, а страх ли это? Может быть, это не страх, может быть, вы хотите увидеть какой-то новый инструмент, тогда вам нужно выпустить, пощупать, попробовать и в следующий раз делать с помощью какого-то нового инструмента. Знания и поиски инструментов"
"920190","939310"," осуществляются только в действии, только на практике, и бояться абсолютно бессмысленно. Четвёртое правило, которое я вам хочу предложить, это замахиваясь на большой результат, развивайте путь к нему, разбивайте его на промежуточные результаты. Что это значит? Это значит, что, когда вы хотите"
"939310","959410"," большой результат, вы, конечно, себя похвалите, если вы будете зарабатывать 10 миллионов в месяц, конечно, но разбейте, пожалуйста, этот результат на маленькие этапы, потому что держать мотивацию в долгую очень сложно, туда есть путь, разбейте на кусочки, здесь у меня получилось вот это, я себя за"
"959410","979470"," это хвалю, здесь у меня получилось первые деньги с рилсов, например, я себя за это хвалю, здесь у меня получилось договориться там, здесь я повысил цену, разбейте на этапы и хвалите себя за каждый этап, а не только за тот результат, конечный, к которому вы добираетесь, потому что мотивацию важно"
"979470","997070"," поддерживать. Пятое, если что-то не получилось так, как вы планировали, помните, что вы начинаете уже не с нуля, вы уже начинаете с какого этапа, поблагодарите себя за это движение, разберите причину сбоя, про что это, это значит, что, например, из точки А в точку В вы собираетесь идти, и"
"997070","1011330"," вы запланировали, что вы туда придете, вы пришли не в точку В, вы пришли в точку В1, какая-то другая, где-то не добрались, и вам кажется, что вы результат обнулили, потому что вы не пришли туда, куда вы хотели, а я вам предлагаю посмотреть, что если вы не пришли"
"1011330","1029290"," в точку В, а пришли в точку В1, то стартовать вы будете уже не с нуля, стартовать вы будете с точки В1, и это важно, вы уже можете себя поблагодарить за то движение, которое вы осуществили в ту точку, и старт у вас будет, то есть сам разбег, у вас"
"1029290","1048710"," будет гораздо меньше, вам не нужно возвращаться, обнулять, чтобы опять идти, вы стартовать будете уже с этого этажа, куда вы хотите дойти, потребует меньше сил, больше того, у вас появляется опыт, вы можете разобрать причину, почему что-то произошло не так, разобрать причину, чему я здесь научился,"
"1049090","1065050"," я тут попробовал, здесь это не работает, теперь я не буду пробовать, значит, из В1 в точку В вы доберетесь быстрее. Следующее это, когда вы даже чего-то не успеваете, выдыхайте, есть такая фраза, да, все завидуют тому, что я все успеваю, мой секрет в том, что я ничего не"
"1065050","1083790"," успеваю, мне эта фраза тоже очень нравится, она очень смысловая, почему, потому что, когда вы, вот есть ощущение, да, я не успеваю, на самом деле, вы действительно можете какие-то вещи делегировать, вы действительно можете потом какие-то вещи, да, распределять по времени, но самая главная задача"
"1083790","1106430"," здесь дышать, выдыхайте, вы успеете, вам главное организовать процесс, иногда процесс бежит вперёд, иногда он поддаётся не тем правилам, которые были вчера, да, вот накатило много дел, и вы действительно что-то можете не успеть, окей, выдыхайте, скажите себе спасибо, скажите, окей, я молодец, я уже"
"1106430","1124650"," могу что-то делать и я организую этот процесс, и дайте себе время для организации процесса, не нужно биться головой о пол, потому что вы чего-то не успеваете, распределите, скорость нарабатывается. Седьмое – это относитесь к процессу как к игре, пожалуйста, относитесь к жизни как к игре, к"
"1124650","1143770"," процессу, к заработку денег как к игре, с драйвом, с куражом, с лёгкостью, потому что это действительно хорошая, большая, интересная игра, и там можно получить очень много ценного, можно классно разнообразить свою жизнь, наполнить её, сделать её интересной, не нужно уходить в драму, чем больше"
"1143770","1159390"," драмы, тем тяжелее вы будете, тем тяжелее будет людям на вас смотреть, потому что они будут видеть эту драму, тем тяжелее будет с заработком, всё гораздо проще. Восьмое правило – не думайте, как вас оценивают люди, вы никогда не угадаете, как они вас оценивают. Есть простое правило у психологов –"
"1159390","1175530"," никогда не вешайте ярлыки, потому что, если вы повесили ярлык на этого человека, вы перестаёте его видеть. Когда вы думаете, люди оценят меня таким-то образом или другим-то образом, да вы не угадаете, потому что люди разные, у каждого есть свои проекции, свои переносы, свои проблемы, и то, какими"
"1175530","1192250"," глазами в эту секунду посмотрят на ваш релес-человек, вы никогда не угадаете. Делайте так, как вам подходит, так, как вы раскрываете свои ценности. Девятое правило – берите новый инструмент. Почему? Потому что ваш мозг будет сопротивляться, он будет говорить, зачем мне новые инструменты, у нас всё"
"1192250","1210670"," было хорошо, я и так всё хорошо прекрасно знаю, и он попадает в ловушку «я всё знаю». Это самая опасная история, потому что не беря новые инструменты, вы не достигнете новых результатов. Дайте себе возможность брать новые инструменты. Никто не знает всего, всегда есть новые какие-то инструменты для"
"1210670","1232270"," чего-то. Откройте ладошку, пусть туда сыпется новый инструмент. Десятое – обязательно подпитывайте уверенность в себе. Про что это? Это значит, что вам нужно периодически подпитывать в себе уверенность. Уверенность не растёт просто так. Где-то окружение, которое вас подпитывает, где-то вы даёте"
"1232270","1254290"," себе возможность отдыха, где-то вы говорите себе «я молодец». Создайте себе систему, которая подпитывает внутреннюю уверенность в себе, что я могу, что у меня получается, что всё правильно, есть какие-то плюсы и минусы, но всё правильно. Эта система удержания внутреннего баланса «я всё равно в себе"
"1254290","1270770"," уверен», «я всё равно в себя верю» – это важная система, которой пользуются все люди, которых вы знаете, смотрели в журналах, в рилсах и так далее. Одиннадцатое правило – это раскрывайте свои ценности. Каждый ваш рилс, заход, он так или иначе раскрывает вас как личность, и вы должны их хорошо"
"1270770","1287870"," знать. Поэтому раскрывайте, пожалуйста, свои ценности. Не пытайтесь раскрывать чужие, это будет сразу видно. Раскрывайте свои, для чего я это делаю, что я ценю в жизни, что для меня дорого, что для меня ценно, это всегда интересно. Двенадцатое правило – это направляйте свои силы и ресурсы, а не"
"1287870","1305530"," тратьте их. Люди иногда говорят, приходят на консультации или в работу, в групповую, говорят «я потратил все свои силы». Зачем? Когда тебе нужно было направить. Какое-то действие требует определённое количество сил. Не нужно делать и вкладывать сил больше, чем действия это требуют. Не нужны лишние"
"1305530","1325550"," действия. Не нужны действия, которые, знаете, такие, просто ради действия создаются. Уберите их. Столько сил требуется на это действие. Я готов? Готов. Столько ресурсов требуется для осуществления этого проекта, действия, рилса, чего хотите. Готов? Готов. Попробуйте сбалансировать эту историю, и"
"1325550","1336690"," вам гораздо быстрее всё станет получаться. А я с вами прощаюсь, я надеюсь, что мы ещё с вами увидимся, и я уверена, что у вас всё получится. Пока. "
