"start","end","text"
"298150","316970"," Либо мы просто какой-нибудь мини-продукт делаем. Внутри у нас глубокие смыслы. Но на этапе верховоронки, где у нас просто короткие ролики, либо нейропосты, нам ни в коем случае не нужно душнить. Это у нас контент, который пересосит много внимания и попадает в задачу человека, которую он хочет"
"316970","336210"," решить. А он хочет просто развлечься. Наша задача вовлекать людей. А вовлечение равно развлечение, когда мы взаимодействуем с человеком только-только. То есть мы для него являемся площадкой очень ценной, в которой он закрывает важную задачу получить быстрый дофамин. И тогда мы будем расти быстро и"
"336210","353490"," не ставить телегу вперед паровозу. Здесь нам важно стратегически отделить инструмент для пылесосинга, просто трафика, от инструментов по вовлечению и продажам. Например, у меня есть аккаунты, которые генерят трафик. Я их перенаправляю в свои каналы, и уже в каналах идет вовлечение на конкретную"
"353490","371170"," тематику с более глубоким контентом. А здесь, чему посвящен у нас первый, второй модуль, мы просто генерим подписчиков, которых уже переводим дальше по воронке. И здесь как раз фокус именно на генерацию трафика. Нам не нужно пытаться в коротких роликах продавать, прогревать, вовлекать. Совершенно"
"371170","388850"," другая задача у этого. Генерировать классных, целевых, бесплатных подписчиков, которых мы бы направляли. В соответствии с нашими столпами контента и позиционированием. И как раз сейчас углубимся больше в столпы контента, чтобы понять, кто для нас является целевой, какой нет, какие есть тематики и"
"388850","408710"," мета-аудиторию. Вот какие, в общем, есть столпы контента. То есть то, про что мы снимаем. Это отношения, психология, здоровье, спорт, мотивация. Все, что связано с деньгами, с карьерой, с продвижением, продажами, с похудением, с духовным ростом, эзотерикой. Также сюда входят новости. Также очень"
"408710","425690"," классный формат. И сюда входит все, что связано с историями каких-то людей. Что у нас происходит. Например, истории знаменитых персонажей, истории правителей. В общем, все, что связано с какими-то историями людей. Здесь важно запомнить, что чем больше тема, тем больше у нее зрителей. Я удивлялся,"
"425710","441590"," почему никто не смотрит про мои инструменты автоматизации рекрутинга для этих компаний. И потом понял, что это просто маленькая ниша, это маленькое облако смыслов. Это неинтересно большому числу людей. Поэтому такие ролики просто не имеют потенциала набрать столько же, сколько, например, ролики,"
"442050","459710"," рассчитанные на людей, кто интересуется футболом. Это гораздо большая ниша, которая релевантна почти каждому. Самые большие три столпа контента – это отношения, особенно в СНГ-пространстве, потому что у нас нет образования на эту тематику. И, в общем, сердце разбито у всех. Это релевантно почти"
"459710","476890"," каждому. Дальше здоровье, потому что, во-первых, это мировая тенденция. В общем, население планеты стареет. Много гораздо старших людей. И, соответственно, здесь есть болячки. И это релевантно почти каждому. Здоровья уже нет. И деньги. Также в СНГ-пространстве это супер. Такая актуальная тематика,"
"476990","491690"," потому что страшно, потому что не закрыт. Базовая безопасность. За рубежом, например, деньги не так сильно уже стреляют, особенно в Европе. Вот в Европе, в УК, там это не самое популярное смысло. Там больше здоровье, отношения. Но у нас деньги – это прямо очень острая боль. Но про деньги мы"
"491690","507150"," никогда не говорим напрямую. Не работают темы, как стать богатым, как стать успешным, как стать уверенным. Они всегда привязываются к другим столпам контента, заходятся через них. То есть про деньги мы говорим шикарно, но просто не напрямую. И наша задача продвигается именно через широкие темы."
"507190","525050"," Потому что они нам дадут больше аудитории в воронку. Там уже кто-то отсеется, кто-то догреется, станет уже целевым. То есть уровень осведомленности взрастится, аудитория, условно, станет целевой. Но, в общем, нам как раз важно захватить сверху как можно больше. И чтобы у нас до нижней части воронки"
"525050","540570"," дошло много людей. Если мы сразу снимаем на узкие темы, то у нас к низу воронки вообще никто не дойдет. Весь трафик у нас посыпается. Это то же самое, что ситом пытаться зачерпнуть море. Поэтому тему мы используем как можно шире. Либо в рамках своей ниши, если у нас, например,"
"540630","556610"," ниша своего проекта, мы не можем от нее отходить. Либо в рамках я-ниши, а также в рамках облака смыслов, который залетает на нашем аккаунте. Даже если мы, например, фитнес-тренер для беременных женщин или послеродов, кто хочет восстановиться, прийти в форму, нам важно сделать контент не на эту"
"556610","574810"," узкую тему, чтобы вроде бы приходили целевые люди, но вообще на всех женщин, кто увлекается фитнесом. И, конечно, если у нас наша область, мы не хотим отделять свое позиционирование от продукта, то есть мы хотим чисто про недвижку говорить, чтобы у нас чисто супер-супер целевые заявки падали,"
"575130","593470"," допустим, на риэлторство, то тогда важно говорить не на какие-то прям узкие темы, где будет мало охватов, но и даже в рамках узкого позиционирования, в рамках узкой ниши снимать на самые-самые возможные широкие темы. А когда у нас я-ниша, у нас вообще все руки развязаны, и мы"
"593470","610710"," можем транслировать людям все то, что резонирует нам, все то, что залетает, и все то, что помогает нам с разных архетипов проявляться и отстраиваться от рынка. А лучший инструмент для личного бренда, либо для я-ниши, либо для названия аккаунта – это фамилия, которая будет отражать вообще нас."
"611130","628090"," Издревно у нас все бизнесы, например, на территории России, еще там в Царской России, назывались обычно в честь предприятия. То есть завод какой-то, имя какого-то, компания по производству мыла именно такого-то человека, потому что этому доверяют. То есть люди любят следить не за абстрактными"
"628090","647590"," аккаунтами, к которому ты не можешь прогреться, ты не можешь срезонировать, а за живыми людьми. Вот здесь пример аккаунтов. Дуров, Мэймаск, Олег Тинькофф, ЦАГ, Марк Сакерберг. Допустим, псевдоним Mr. Thank You или псевдоним Mr. Beast. Идеально, мне кажется, всегда, когда у нас есть лицо, когда у"
"647590","665370"," нас есть фамилия, либо сокращение от фамилии, это работает прям лучше всего и помогает нам, как людей к себе прогреваться, если у нас я-ниша, так, чтобы это было легко запоминаемо, и один человек мог сказать другому, и это было бы легко ввести просто в поисковой строке, чтобы мы индексировались"
"665370","681590"," и выдавались в рамках любой соцсети. Аватарка также, чем проще, тем лучше. Важно, я считаю, чтобы было видно лицо крупным планом, либо инструмент личного бренда. Например, если мы всегда в кепке, или у нас всегда есть очки, то это также нас классно отстроит. Но базово, чем крупнее видно наше лицо,"
"681730","698170"," эмоции, тем лучше человек это может разглядеть, даже на маленьком каком-нибудь кнопочном телефоне, и тем лучше он запомнит, и ему будет легче где-то нас в будущем увидеть и смотреть наши другие ролики. Шапки профиля, когда у нас оказывается я-ниша, очень важно выдерживать баланс между двумя вещами."
"698590","717710"," Первое, раскрывать что-то с точки зрения нашей я-ниши, например, один мой муж, отец, похудел там на 20 килограмм, посетил 70 стран, не знаю, патриот, благотворительностью занимаюсь. То есть, те вещи, которые бы отражали наши ценности, это прямо очень хорошо сейчас в повестку попадает. И второе, это"
"717710","734750"," офферу. Если у нас есть куда призвать аудиторию, или понимать, зачем людям подписываться и обращаться к нам. Раздел, допустим, не знаю, сколько ты продашь на сумму, там, сколько-то миллионов рублей, или работал с такими-то брендами, или где там делаю клиентам один ролик за 15 секунд, или получи"
"734750","752530"," первый, не знаю, нейрофотосессию уже через 48 часов. Какой-нибудь специалист по иишке, нейрографии, которого не нужно править. Или, например, неочевидные лайфхаки показывают на тему там нейросетей. Или в историях рассказывают больше, как использовать частные нейронки, чтобы там, не знаю, контент"
"752530","767690"," генерить на полном автомате. То есть, это часть оффера, которая с такой классной формулировкой поможет зацепить внимание, и опять же удержать людей, конверсия в подписку вырастет, и больше активации воронок будет. Дальше, аккаунты без лица. За рубежом этот термин пришел к нам из американского"
"767690","785210"," маркетинга. Эти аккаунты называются faceless, то есть, face и лицо, и less – это без. То есть, аккаунты без лица, faceless аккаунты. Для любого аккаунта без лица в любой соцсети нам важно упаковать как никнейм, имя, шапку профиля, ссылку в шапке после миллиона-полутора миллионов охватов профпанели,"
"785570","801410"," и также актуальные, то есть, истории. У меня, например, на аккаунтах без лица я всегда прописываю Иван Сергеев, чтобы люди также видели, кто это, и дальше через слэш, кто я, чем занимаюсь. Ну вот, например, у ученика Артем Вороник, я маркетолог, сделал 170 миллионов охватов. Также шапка профиля. На"
"801410","819290"," ней сразу же можно сделать, как призыв писать в личное сообщение, особенно если у нас уже есть продукт, и после полутора миллионов можно уже делать ссылку, например, на перелив трафика на Воронику. Я у себя здесь пишу сразу офферов, как дойти до результата мечты без трудностей за какие-то сроки."
"819290","834650"," Вот, или пишу, например, мой самокейс, или что происходит на этом аккаунте. Это классно работает, что на аккаунтах без лица люди переходят в шапку профиля и смотрят, что здесь что-то у нас происходит интересненькое. Это не просто ролики, это какая-то воронка здесь, какой-то идет виш. Блин, надо"
"834650","850690"," изучить, вдруг здесь есть какая-то возможность. И на аккаунтах до полутора миллионов мы пишем в директ, чтобы мы не ставили ссылочку сразу. Ну, когда, понятно, у нас уже 13 миллионов и так далее, можно ставить ссылку. Они обычно настолько быстро взлетают, что мы не успеваем даже подвязать какую-то"
"850690","868450"," ссылочку. Далее истории, которые мы можем закрепить в актуальные на самом старте. Мы их не трогаем, но как только у нас есть аккаунт, который мы решаем оставить, и когда мы уже можем размещать там ссылки после миллиона, полутора миллионов охватов, чтобы у нас аккаунт не резался, мы обязательно их"
"868450","884590"," заполняем. Это дает нам дополнительно перелив трафика на Воронки в среднем. Как раз из актуальных у нас переход по Воронкам где-то в 4 раза больше, чем просто по ссылке в шапке профиля. То есть это очень мощный инструмент, с которым мы подробнее разберемся на модуле с Воронками. И задание"
"884590","901730"," будет выбрать свою я-нишу, чтобы больше не конкурировать с тысячами других одинаковых аккаунтах в рамках просто продукта или в рамках проекта. Также выбрать максимально широкие столпы контента, чтобы быть релевантным для каждого человека, чтобы много людей зацеплять в нашу Воронку и базово"
"901730","917650"," упаковать профиль на аккаунтах с лицом. И то же самое с аккаунтами без лица. Мы их оформляем по нашей простой пошаговой инструкции. Кстати, по опыту многих учеников, очень классная конфигурация, когда у нас есть один аккаунт с лицом, например, для нашей я-ниши, и два аккаунта без лица просто для"
"917650","932310"," пылесосинга трафика в рамках одной соц.сети. То есть это такой мини-контент-завод. Если у нас он есть в каждой соц.сети, то у нас есть максимальная диверсификация и максимальный приток трафика. Конечно, супер на старте, чтобы не выиграть важно адекватно оценивать свои усилия, что будет там через"
"932310","937410"," неделю такого постинга, особенно если у нас нет команды. Но это то, к чему обязательно нам стоит присоединиться. "
